alpha,Номер,P1,P2,P3
0.1,1,1.518679619534266,2.8159650607160978,-0.6972020196356661
0.1,2,3.64866494064724,7.758600731243366,4.760528418363126
0.1,3,2.9718772335703423,4.677915335804298,1.4956036929013212
0.1,4,2.4651383056687393,4.320086880076026,0.4370154995165282
0.1,5,0.6887135949302995,2.0880686152313674,-3.179030183695608
0.1,6,0.7487758899115946,1.779941149568328,-3.1387480764833966
0.1,7,0.3286274847551983,1.375988392443996,-4.944198043996425
0.1,8,3.517726131569551,6.054604230843234,2.936652703411829
0.1,9,2.396358008493129,4.24508228965596,0.6318664512347077
0.1,10,2.6404990627684,5.083312406071869,1.6977161252792587
0.1,11,0.131946016076203,0.6503540400843886,-5.946963284108192
0.1,12,3.903621117066176,8.523914539329112,5.471184192849548
0.1,13,3.361129786153878,5.7925524019739925,2.7676890415737527
0.1,14,0.7019302159256392,2.491268263609912,-2.67300358691538
0.1,15,0.6024702119056193,2.24862041436895,-2.734728267877771
0.1,16,0.8552256560876501,2.0635910880235673,-2.9619285964039808
0.1,17,1.2124015360927556,2.719007097555202,-1.3647755067669893
0.1,18,2.177718648745152,3.632206159464247,-0.34947478934692144
0.1,19,1.73104999898485,3.5709527015059304,-0.622162227772393
0.1,20,1.1683525038217502,2.7283674670717812,-1.559060268397442
0.1,21,2.5557552604808196,4.6196489240977066,0.907605132519951
0.1,22,0.49838773005812975,1.9690324862670359,-2.43987832129774
0.1,23,1.1796776654291912,2.586564879138731,-1.5364505427995372
0.1,24,1.4120684207000531,2.757944391708163,-1.325730401899654
0.1,25,1.774108634094159,3.1056343118643683,-0.35965839298273633
0.1,26,3.105003723829945,5.070276542712165,1.8365081331361404
0.1,27,0.8243449272032052,2.34860561801995,-2.552541008045299
0.1,28,2.0016566245361322,3.842087202333349,-0.14285275728676847
0.1,29,2.5146605028754485,3.8185745105755493,0.975898791956836
0.1,30,0.08250129752890381,1.511919420210088,-5.205733321357443
0.1,31,2.40860132879366,4.119346329897647,0.7837474590779372
0.1,32,0.6313207257760394,2.1773733279974774,-3.0469556487046647
0.1,33,0.42728898614973065,1.8177253293456943,-4.0194299220900325
0.1,34,3.8182383396392257,7.899937266550172,4.8060547734187145
0.1,35,3.98167527682305,8.25418926339873,6.01022166840544
0.1,36,3.062051656211777,5.412723834664822,2.860262431911178
0.1,37,1.2492913852708383,2.3541267438901263,-1.3889091993329155
0.1,38,0.49341417189204995,1.5858025419465471,-3.774171362927053
0.1,39,2.74643344272026,4.619386953499722,1.5568459650178512
0.1,40,1.883641051230454,3.195749183435902,-1.0300495759851431
0.1,41,0.4284216141962885,1.8545779113996195,-3.5782390709073155
0.1,42,2.1434450652396517,3.6644908173894537,0.21727742733260266
0.1,43,0.4030079745630935,1.162133259001911,-5.474313863091114
0.1,44,3.5953846202066857,6.7068015846584474,3.5881883289133416
0.1,45,0.9836777262689892,2.6097009655344086,-1.9570549997597173
0.1,46,2.8179115212359136,4.617083477316637,1.7693018896154706
0.1,47,1.4292375850660561,2.5983098569160807,-1.0989507046845057
0.1,48,2.0198974092261563,4.050776722944678,0.13237170493020278
0.1,49,2.1383221229810734,3.8800677068523908,0.6374971370440847
0.1,50,0.7068801381462867,2.225082075100402,-2.801008361331136
0.1,51,3.7230947381666804,8.627005067966328,5.11300962837627
0.1,52,2.994454503725613,5.3510265997249595,1.9902341260430845
0.1,53,3.6420475778590395,7.656128111468987,5.1206097738424505
0.1,54,3.490651775531394,6.657092849983763,3.6756516409254343
0.1,55,2.3875948494304264,4.041530991223892,0.6707303158215603
0.1,56,3.714541727868095,7.143555153552077,4.163424238595483
0.1,57,0.5330063835886489,1.4394667473209934,-3.4790487738571603
0.1,58,0.6686514548431625,2.298659631403731,-2.0803861831290758
0.1,59,0.294568915988119,1.3144265618463318,-4.41337994750099
0.1,60,1.2766120196896225,2.835805027433879,-1.4062472966327606
0.1,61,1.5489975815413382,3.134794888239158,-0.7596170702543176
0.1,62,1.1633175701869427,2.2573305182894283,-2.2812069979286496
0.1,63,3.1853092643328944,5.677096489182527,3.2906444573950937
0.1,64,1.4711701807543767,3.0363571125676043,-1.4517857942872292
0.1,65,1.1429582841933261,2.7093841454997745,-1.6751701868717008
0.1,66,2.2276477066005693,3.6742385251398515,-0.007505740984798892
0.1,67,0.5970872187793261,2.2422927163446698,-3.4051887269566787
0.1,68,3.492301562359935,5.361418463101749,2.297305584310807
0.1,69,0.2245627044029863,1.7625303876575502,-4.510502091841824
0.1,70,3.8862334994202348,9.758625351143806,6.506803825051408
0.1,71,3.0170250070517692,5.151893111027615,2.0742989054129155
0.1,72,0.7307217532815194,2.645519531940779,-2.288652638820418
